"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4543","firstNameAndPostalCode","Default Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","firstNameAndPostalCode"
"","8128","twitter","Swag Labs Test Suite","2026-01-21","failed","2026-01-21","swagLabs.FooterTest","Functional Tests","swagLabs.FooterTest","twitter"
"","1955","copyPasswordsText","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","copyPasswordsText"
"","3446","signsWithLastName","Default Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","signsWithLastName"
"","2481","productTitleIdentity","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.HomeTest","SwagLabs","swagLabs.HomeTest","productTitleIdentity"
"","5870","finish","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.CompleteTest","Functional Tests","swagLabs.CompleteTest","finish"
"","1509","passwordInDotted","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","passwordInDotted"
"","0","takeScreenShotOnFailure","Swag Labs Test Suite","2025-12-12","broken","2025-12-12","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","takeScreenShotOnFailure"
"","2354","usernameWithSpace","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","usernameWithSpace"
"","4707","amountOfProductPriceAndTotalPrice","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.OverviewTest","SwagLabs","swagLabs.OverviewTest","amountOfProductPriceAndTotalPrice"
"","3099","productTitleFunctionality","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.HomeTest","SwagLabs","swagLabs.HomeTest","productTitleFunctionality"
"","9149","cancel","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.OverviewTest","SwagLabs","swagLabs.OverviewTest","cancel"
"","5317","finishMultipleProducts","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.OverviewTest","SwagLabs","swagLabs.OverviewTest","finishMultipleProducts"
"","5223","backHome","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.CompleteTest","SwagLabs","swagLabs.CompleteTest","backHome"
"","2843","basketIconVariationProductPage","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","SwagLabs","swagLabs.AddToCartTest","basketIconVariationProductPage"
"","13537","removeShoppingCartPage","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","Functional Tests","swagLabs.AddToCartTest","removeShoppingCartPage"
"","4845","withoutReqFields","Default Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","withoutReqFields"
"","5089","pageOpeningWithProductAdded","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.OverviewTest","Functional Tests","swagLabs.OverviewTest","pageOpeningWithProductAdded"
"","2128","navigateBackAndLogin","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","navigateBackAndLogin"
"","5754","fromCheckoutPage","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.AllItemTest","SwagLabs","swagLabs.AllItemTest","fromCheckoutPage"
"","2145","pageOpening","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.HomeTest","Functional Tests","swagLabs.HomeTest","pageOpening"
"","3932","fromYourCartPage","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.AllItemTest","SwagLabs","swagLabs.AllItemTest","fromYourCartPage"
"","1980","validCredentials","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","validCredentials"
"","3943","fromCheckoutPage","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.AllItemTest","Functional Tests","swagLabs.AllItemTest","fromCheckoutPage"
"","1","tearDown","Default Suite","2023-12-13","broken","2023-12-13","swagLabs.HomeTest","Swag Labs","swagLabs.HomeTest","tearDown"
"","4398","signsWithFirstName","Default Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","signsWithFirstName"
"","2255","passwordInUppercase","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","passwordInUppercase"
"","2511","priceAscending","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.FilterTest","SwagLabs","swagLabs.FilterTest","priceAscending"
"","4685","finish","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.OverviewTest","SwagLabs","swagLabs.OverviewTest","finish"
"","4191","lettersInPostalCode","Swag Labs Test Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","lettersInPostalCode"
"","2719","productImageIdentity","Swag Labs Test Suite","2026-01-21","failed","2026-01-21","swagLabs.HomeTest","Functional Tests","swagLabs.HomeTest","productImageIdentity"
"","7910","linkedIn","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.FooterTest","SwagLabs","swagLabs.FooterTest","linkedIn"
"","2621","priceDescending","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.FilterTest","SwagLabs","swagLabs.FilterTest","priceDescending"
"","2457","placeholder","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","placeholder"
"","1919","productsImage$2","Default Suite","2023-11-20","broken","2023-11-20","swagLabs.ProductDisplayTest","Swag Labs","swagLabs.ProductDisplayTest","productsImage$2"
"","26997","menuAbout","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.MenuBarTest","Functional Tests","swagLabs.MenuBarTest","menuAbout"
"","2238","fromMenu","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LogoutTest","SwagLabs","swagLabs.LogoutTest","fromMenu"
"","2786","productTitleFunctionality","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.HomeTest","Functional Tests","swagLabs.HomeTest","productTitleFunctionality"
"","5599","addingToCart","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","SwagLabs","swagLabs.AddToCartTest","addingToCart"
"","2532","menuBarClosureFromProductPage","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.AllItemTest","Functional Tests","swagLabs.AllItemTest","menuBarClosureFromProductPage"
"","3553","letterDescending","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.FilterTest","SwagLabs","swagLabs.FilterTest","letterDescending"
"","3355","onlyFirstName","Default Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","onlyFirstName"
"","3294","addingToCart","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","Functional Tests","swagLabs.AddToCartTest","addingToCart"
"","3871","firstNameAndPostalCode","Swag Labs Test Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","firstNameAndPostalCode"
"","5247","withoutReqFields","Swag Labs Test Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","withoutReqFields"
"","5807","fromCheckoutOverviewPage","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.AllItemTest","SwagLabs","swagLabs.AllItemTest","fromCheckoutOverviewPage"
"","2306","passwordWithSpace","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","passwordWithSpace"
"","1983","passwordWithSpace","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","passwordWithSpace"
"","2321","description","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.HomeTest","Functional Tests","swagLabs.HomeTest","description"
"","2850","buttonVariationProductPage","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","Functional Tests","swagLabs.AddToCartTest","buttonVariationProductPage"
"","1748","buttonVariation","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","Functional Tests","swagLabs.AddToCartTest","buttonVariation"
"","2","tearDown","Default Suite","2023-12-12","broken","2023-12-12","swagLabs.YourCartTest","Swag Labs","swagLabs.YourCartTest","tearDown"
"","2661","priceDescending","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.FilterTest","Functional Tests","swagLabs.FilterTest","priceDescending"
"","3542","onlyPostalCode","Default Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","onlyPostalCode"
"","1855","usernameInUppercase","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","usernameInUppercase"
"","2622","letterDescending","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.FilterTest","Functional Tests","swagLabs.FilterTest","letterDescending"
"","3324","description","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.HomeTest","SwagLabs","swagLabs.HomeTest","description"
"","4160","lettersInPostalCode","Default Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","lettersInPostalCode"
"","2660","immediatelyLogInAndOut","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LogoutTest","Functional Tests","swagLabs.LogoutTest","immediatelyLogInAndOut"
"","24033","totalPrice","Default Suite","2026-01-21","broken","2026-01-21","swagLabs.OverviewTest","SwagLabs","swagLabs.OverviewTest","totalPrice"
"","2382","productPictureFunctionality","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.HomeTest","Functional Tests","swagLabs.HomeTest","productPictureFunctionality"
"","2947","iconCountVariation","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.YourCartTest","SwagLabs","swagLabs.YourCartTest","iconCountVariation"
"","4648","pageOpeningWithoutProductAdded","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.OverviewTest","Functional Tests","swagLabs.OverviewTest","pageOpeningWithoutProductAdded"
"","34493","menuBarClosureFromCheckoutPage","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.AllItemTest","Functional Tests","swagLabs.AllItemTest","menuBarClosureFromCheckoutPage"
"","3783","productImageIdentity","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.HomeTest","SwagLabs","swagLabs.HomeTest","productImageIdentity"
"","2680","copyPasswordsText","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","copyPasswordsText"
"","2531","resetAppState","Swag Labs Test Suite","2026-01-21","failed","2026-01-21","swagLabs.MenuBarTest","Functional Tests","swagLabs.MenuBarTest","resetAppState"
"","25216","totalPriceMultipleItems","Swag Labs Test Suite","2026-01-21","broken","2026-01-21","swagLabs.OverviewTest","Functional Tests","swagLabs.OverviewTest","totalPriceMultipleItems"
"","4449","withoutPostalCode","Default Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","withoutPostalCode"
"","3522","productPictureFunctionality","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.HomeTest","SwagLabs","swagLabs.HomeTest","productPictureFunctionality"
"","10718","closeBrowser","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","closeBrowser"
"","3603","addingToCartProductPage","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","Functional Tests","swagLabs.AddToCartTest","addingToCartProductPage"
"","12635","remove","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","Functional Tests","swagLabs.AddToCartTest","remove"
"","13266","productRemoving","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.YourCartTest","SwagLabs","swagLabs.YourCartTest","productRemoving"
"","1","setUp","Default Suite","2023-12-01","broken","2023-12-01","swagLabs.AddToCartTest","Swag Labs","swagLabs.AddToCartTest","setUp"
"","25203","closeErrorIssue","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","closeErrorIssue"
"","15060","remove","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","SwagLabs","swagLabs.AddToCartTest","remove"
"","3103","basketIconVariation","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","SwagLabs","swagLabs.AddToCartTest","basketIconVariation"
"","2244","withoutPassword","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","withoutPassword"
"","2415","usernameInUppercase","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","usernameInUppercase"
"","3174","price","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.HomeTest","SwagLabs","swagLabs.HomeTest","price"
"","2331","fromHomePage","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.AllItemTest","SwagLabs","swagLabs.AllItemTest","fromHomePage"
"","2968","iconVariation","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.YourCartTest","SwagLabs","swagLabs.YourCartTest","iconVariation"
"","3301","letterAscending","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.FilterTest","Functional Tests","swagLabs.FilterTest","letterAscending"
"","3107","priceAscending","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.FilterTest","Functional Tests","swagLabs.FilterTest","priceAscending"
"","1921","invalidPassword","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","invalidPassword"
"","2056","backAndForward","Swag Labs Test Suite","2026-01-21","failed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","backAndForward"
"","23336","emptySpace","Default Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","emptySpace"
"","2771","invalidCredentials","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","invalidCredentials"
"","2308","menuBarClosureFromHomePage","Swag Labs Test Suite","2025-12-12","failed","2025-12-12","swagLabs.AllItemTest","Functional Tests","swagLabs.AllItemTest","menuBarClosureFromHomePage"
"","1","takeScreenShotOnFailure","Swag Labs Test Suite","2025-12-12","broken","2025-12-12","swagLabs.ProductDisplayTest","Functional Tests","swagLabs.ProductDisplayTest","takeScreenShotOnFailure"
"","2370","addToCart","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.ProductDisplayTest","Functional Tests","swagLabs.ProductDisplayTest","addToCart"
"","4606","productDisplay","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.OverviewTest","Functional Tests","swagLabs.OverviewTest","productDisplay"
"","2060","withoutCredentials","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","withoutCredentials"
"","0","takeScreenShotOnFailure","Swag Labs Test Suite","2025-12-12","broken","2025-12-12","swagLabs.AllItemTest","Functional Tests","swagLabs.AllItemTest","takeScreenShotOnFailure"
"","2122","productsTitle","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.ProductDisplayTest","Functional Tests","swagLabs.ProductDisplayTest","productsTitle"
"","3986","pageOpeningWithoutProductAdded","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","pageOpeningWithoutProductAdded"
"","3381","accountStability","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LogoutTest","Functional Tests","swagLabs.LogoutTest","accountStability"
"","3161","addingToCartProductPage","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","SwagLabs","swagLabs.AddToCartTest","addingToCartProductPage"
"","2518","invalidUsername","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","invalidUsername"
"","4212","signsWithFirstName","Swag Labs Test Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","signsWithFirstName"
"","2361","resetAppState","Default Suite","2026-01-21","failed","2026-01-21","swagLabs.MenuBarTest","SwagLabs","swagLabs.MenuBarTest","resetAppState"
"","5929","backHome","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.CompleteTest","Functional Tests","swagLabs.CompleteTest","backHome"
"","1986","addToCart","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.ProductDisplayTest","SwagLabs","swagLabs.ProductDisplayTest","addToCart"
"","2631","productsTitle","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.ProductDisplayTest","SwagLabs","swagLabs.ProductDisplayTest","productsTitle"
"","2228","usernameWithSpace","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","usernameWithSpace"
"","4088","productOpening","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.YourCartTest","SwagLabs","swagLabs.YourCartTest","productOpening"
"","4207","onlyFirstName","Swag Labs Test Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","onlyFirstName"
"","6282","continueBtn","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.YourCartTest","SwagLabs","swagLabs.YourCartTest","continueBtn"
"","0","takeScreenShotOnFailure","Swag Labs Test Suite","2025-12-12","broken","2025-12-12","swagLabs.MenuBarTest","Functional Tests","swagLabs.MenuBarTest","takeScreenShotOnFailure"
"","2328","productTitleIdentity","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.HomeTest","Functional Tests","swagLabs.HomeTest","productTitleIdentity"
"","4500","signsWithLastName","Swag Labs Test Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","signsWithLastName"
"","2705","fromMenu","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LogoutTest","Functional Tests","swagLabs.LogoutTest","fromMenu"
"","0","takeScreenShotOnFailure","Swag Labs Test Suite","2025-05-22","broken","2025-05-22","swagLabs.CompleteTest","Functional Tests","swagLabs.CompleteTest","takeScreenShotOnFailure"
